title,price,location,bedrooms,bathrooms,listing_url,scraped_at
1 Bed Apartment with En Suite in Lavington,"KSh 4,000,000",Lavington,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4017618,2026-06-26T20:39:59.542939
1 Bed Apartment with En Suite in Lavington,"KSh 4,000,000",Lavington,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4017617,2026-06-26T20:39:59.622546
Studio Apartment with En Suite in South B,"KSh 3,230,000",South B,,1 Bathrooms,https://www.buyrentkenya.com/listings/studio-apartment-for-sale-south-b-4017668,2026-06-26T20:39:59.693917
4 Bed Apartment with En Suite in Westlands Area,"KSh 18,000,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4017659,2026-06-26T20:39:59.775245
2 Bed Apartment with Swimming Pool in Kilimani,"KSh 7,000,000",Kilimani,2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-3985963,2026-06-26T20:40:31.006026
2 Bed Apartment with En Suite in Kilimani,"KSh 6,000,000",Kilimani,2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4009949,2026-06-26T20:40:31.088693
3 Bed Apartment with En Suite at Rhapta Road,"KSh 14,000,000","Westlands Area, Westlands",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-3974783,2026-06-26T20:40:31.167624
1 Bed Apartment with En Suite in Kileleshwa,"KSh 3,000,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4017584,2026-06-26T20:40:31.246931
4 Bed Apartment with En Suite in Kilimani,"KSh 13,500,000",Kilimani,4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4017592,2026-06-26T20:40:31.324378
3 Bed Apartment with En Suite in Lavington,"KSh 10,000,000",Lavington,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4017591,2026-06-26T20:40:31.405772
3 Bed Apartment with En Suite in Kileleshwa,"KSh 10,000,000",Kileleshwa,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4017590,2026-06-26T20:40:31.484128
3 Bed Apartment in Parklands,"KSh 37,500,000","Parklands, Westlands",3 Bedrooms,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-parklands-3948081,2026-06-26T20:41:01.158075
2 Bed Apartment with En Suite in Riverside,"KSh 14,000,000","Riverside, Westlands",2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-riverside-3978751,2026-06-26T20:41:01.251763
3 Bed Apartment with En Suite in Lavington,"KSh 13,600,000",Lavington,3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-3938189,2026-06-26T20:41:01.330090
1 Bed Apartment with En Suite in Kileleshwa,"KSh 6,400,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4017576,2026-06-26T20:41:01.408643
1 Bed Apartment with En Suite in Kilimani,"KSh 6,000,000",Kilimani,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4017566,2026-06-26T20:41:01.501174
1 Bed Apartment with En Suite in Kileleshwa,"KSh 4,000,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4017571,2026-06-26T20:41:01.606431
1 Bed Apartment with En Suite in Kileleshwa,"KSh 5,700,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4017569,2026-06-26T20:41:01.685630
2 Bed Apartment with En Suite at Nyali Beach,"KSh 6,500,000","Nyali Area, Nyali",2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-nyali-area-3896957,2026-06-26T20:41:32.994238
4 Bed Apartment with En Suite at Nyali,"KSh 35,000,000","Nyali Area, Nyali",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-nyali-area-3965961,2026-06-26T20:41:33.075860
4 Bed Apartment with En Suite at Jalaram Road,"KSh 26,300,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-2-3856555,2026-06-26T20:41:33.155814
3 Bed Apartment with En Suite in Kilimani,"KSh 9,000,000",Kilimani,3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4017517,2026-06-26T20:41:33.233059
3 Bed Apartment with En Suite in Kilimani,"KSh 10,500,000",Kilimani,3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4017515,2026-06-26T20:41:33.311376
2 Bed Apartment with En Suite in Kileleshwa,"KSh 7,000,000",Kileleshwa,2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4017549,2026-06-26T20:41:33.400682
2 Bed Apartment with En Suite in Kilimani,"KSh 6,000,000",Kilimani,2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4017513,2026-06-26T20:41:33.482517
1 Bed Apartment with Borehole at Sore Road,"KSh 5,450,000",South B,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-south-b-3761296,2026-06-26T20:42:05.840025
3 Bed Apartment with En Suite in Mtwapa,"KSh 10,000,000",Mtwapa,3 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-mtwapa-3724881,2026-06-26T20:42:05.929593
